timestamp,accuracy,error,in_latency_window,retrain_active,deploy_active
0,1.0000,0.0000,False,False,False
1,1.0000,0.0000,False,False,False
2,1.0000,0.0000,False,False,False
3,1.0000,0.0000,False,False,False
4,0.0000,1.0000,False,False,False
5,1.0000,0.0000,False,False,False
6,1.0000,0.0000,False,False,False
7,1.0000,0.0000,False,False,False
8,0.0000,1.0000,False,False,False
9,1.0000,0.0000,False,False,False
10,0.0000,1.0000,False,False,False
11,1.0000,0.0000,False,False,False
12,1.0000,0.0000,False,False,False
13,1.0000,0.0000,False,False,False
14,0.0000,1.0000,False,False,False
15,1.0000,0.0000,False,False,False
16,1.0000,0.0000,False,False,False
17,1.0000,0.0000,False,False,False
18,1.0000,0.0000,False,False,False
19,0.0000,1.0000,False,False,False
20,1.0000,0.0000,False,False,False
21,1.0000,0.0000,False,False,False
22,1.0000,0.0000,False,False,False
23,0.0000,1.0000,False,False,False
24,0.0000,1.0000,False,False,False
25,1.0000,0.0000,False,False,False
26,0.0000,1.0000,False,False,False
27,0.0000,1.0000,False,False,False
28,1.0000,0.0000,False,False,False
29,1.0000,0.0000,False,False,False
30,0.0000,1.0000,False,False,False
31,0.0000,1.0000,False,False,False
32,0.0000,1.0000,False,False,False
33,1.0000,0.0000,False,False,False
34,0.0000,1.0000,False,False,False
35,1.0000,0.0000,False,False,False
36,1.0000,0.0000,False,False,False
37,1.0000,0.0000,False,False,False
38,1.0000,0.0000,False,False,False
39,0.0000,1.0000,False,False,False
40,0.0000,1.0000,False,False,False
41,1.0000,0.0000,False,False,False
42,1.0000,0.0000,False,False,False
43,1.0000,0.0000,False,False,False
44,1.0000,0.0000,False,False,False
45,1.0000,0.0000,False,False,False
46,1.0000,0.0000,False,False,False
47,1.0000,0.0000,False,False,False
48,0.0000,1.0000,False,False,False
49,1.0000,0.0000,False,False,False
50,0.0000,1.0000,False,False,False
51,0.0000,1.0000,False,False,False
52,0.0000,1.0000,False,False,False
53,1.0000,0.0000,False,False,False
54,0.0000,1.0000,False,False,False
55,0.0000,1.0000,False,False,False
56,1.0000,0.0000,False,False,False
57,0.0000,1.0000,False,False,False
58,1.0000,0.0000,False,False,False
59,0.0000,1.0000,False,False,False
60,0.0000,1.0000,False,False,False
61,0.0000,1.0000,False,False,False
62,1.0000,0.0000,False,False,False
63,0.0000,1.0000,False,False,False
64,0.0000,1.0000,False,False,False
65,1.0000,0.0000,False,False,False
66,1.0000,0.0000,False,False,False
67,0.0000,1.0000,False,False,False
68,0.0000,1.0000,False,False,False
69,1.0000,0.0000,False,False,False
70,1.0000,0.0000,False,False,False
71,1.0000,0.0000,False,False,False
72,0.0000,1.0000,False,False,False
73,0.0000,1.0000,False,False,False
74,1.0000,0.0000,False,False,False
75,1.0000,0.0000,False,False,False
76,1.0000,0.0000,False,False,False
77,1.0000,0.0000,False,False,False
78,0.0000,1.0000,False,False,False
79,0.0000,1.0000,False,False,False
80,1.0000,0.0000,False,False,False
81,0.0000,1.0000,False,False,False
82,0.0000,1.0000,False,False,False
83,0.0000,1.0000,False,False,False
84,0.0000,1.0000,False,False,False
85,1.0000,0.0000,False,False,False
86,0.0000,1.0000,False,False,False
87,1.0000,0.0000,False,False,False
88,1.0000,0.0000,False,False,False
89,0.0000,1.0000,False,False,False
90,0.0000,1.0000,False,False,False
91,0.0000,1.0000,False,False,False
92,1.0000,0.0000,False,False,False
93,0.0000,1.0000,False,False,False
94,1.0000,0.0000,False,False,False
95,1.0000,0.0000,False,False,False
96,0.0000,1.0000,False,False,False
97,0.0000,1.0000,False,False,False
98,1.0000,0.0000,False,False,False
99,1.0000,0.0000,False,False,False
100,1.0000,0.0000,False,False,False
101,1.0000,0.0000,False,False,False
102,1.0000,0.0000,False,False,False
103,1.0000,0.0000,False,False,False
104,1.0000,0.0000,False,False,False
105,0.0000,1.0000,False,False,False
106,0.0000,1.0000,False,False,False
107,1.0000,0.0000,False,False,False
108,0.0000,1.0000,False,False,False
109,0.0000,1.0000,False,False,False
110,0.0000,1.0000,False,False,False
111,1.0000,0.0000,False,False,False
112,1.0000,0.0000,False,False,False
113,0.0000,1.0000,False,False,False
114,1.0000,0.0000,False,False,False
115,1.0000,0.0000,False,False,False
116,0.0000,1.0000,False,False,False
117,1.0000,0.0000,False,False,False
118,1.0000,0.0000,False,False,False
119,1.0000,0.0000,False,False,False
120,1.0000,0.0000,False,False,False
121,0.0000,1.0000,False,False,False
122,0.0000,1.0000,False,False,False
123,0.0000,1.0000,False,False,False
124,1.0000,0.0000,False,False,False
125,1.0000,0.0000,False,False,False
126,0.0000,1.0000,False,False,False
127,0.0000,1.0000,False,False,False
128,1.0000,0.0000,False,False,False
129,1.0000,0.0000,False,False,False
130,1.0000,0.0000,False,False,False
131,1.0000,0.0000,False,False,False
132,1.0000,0.0000,False,False,False
133,0.0000,1.0000,False,False,False
134,1.0000,0.0000,False,False,False
135,1.0000,0.0000,False,False,False
136,1.0000,0.0000,False,False,False
137,0.0000,1.0000,False,False,False
138,0.0000,1.0000,False,False,False
139,0.0000,1.0000,False,False,False
140,0.0000,1.0000,False,False,False
141,1.0000,0.0000,False,False,False
142,1.0000,0.0000,False,False,False
143,1.0000,0.0000,False,False,False
144,1.0000,0.0000,False,False,False
145,1.0000,0.0000,False,False,False
146,1.0000,0.0000,False,False,False
147,0.0000,1.0000,False,False,False
148,1.0000,0.0000,False,False,False
149,1.0000,0.0000,False,False,False
150,0.0000,1.0000,False,False,False
151,0.0000,1.0000,False,False,False
152,1.0000,0.0000,False,False,False
153,1.0000,0.0000,False,False,False
154,0.0000,1.0000,False,False,False
155,0.0000,1.0000,False,False,False
156,1.0000,0.0000,False,False,False
157,0.0000,1.0000,False,False,False
158,1.0000,0.0000,False,False,False
159,1.0000,0.0000,False,False,False
160,1.0000,0.0000,False,False,False
161,1.0000,0.0000,False,False,False
162,0.0000,1.0000,False,False,False
163,1.0000,0.0000,False,False,False
164,0.0000,1.0000,False,False,False
165,1.0000,0.0000,False,False,False
166,0.0000,1.0000,False,False,False
167,1.0000,0.0000,False,False,False
168,1.0000,0.0000,False,False,False
169,1.0000,0.0000,False,False,False
170,0.0000,1.0000,False,False,False
171,1.0000,0.0000,False,False,False
172,1.0000,0.0000,False,False,False
173,0.0000,1.0000,False,False,False
174,0.0000,1.0000,False,False,False
175,1.0000,0.0000,False,False,False
176,1.0000,0.0000,False,False,False
177,1.0000,0.0000,False,False,False
178,0.0000,1.0000,False,False,False
179,0.0000,1.0000,False,False,False
180,0.0000,1.0000,False,False,False
181,0.0000,1.0000,False,False,False
182,1.0000,0.0000,False,False,False
183,0.0000,1.0000,False,False,False
184,1.0000,0.0000,False,False,False
185,0.0000,1.0000,False,False,False
186,1.0000,0.0000,False,False,False
187,0.0000,1.0000,False,False,False
188,0.0000,1.0000,False,False,False
189,1.0000,0.0000,False,False,False
190,1.0000,0.0000,False,False,False
191,0.0000,1.0000,False,False,False
192,1.0000,0.0000,False,False,False
193,0.0000,1.0000,False,False,False
194,1.0000,0.0000,False,False,False
195,0.0000,1.0000,False,False,False
196,0.0000,1.0000,False,False,False
197,0.0000,1.0000,False,False,False
198,0.0000,1.0000,False,False,False
199,0.0000,1.0000,True,True,False
200,1.0000,0.0000,True,True,False
201,0.0000,1.0000,True,True,False
202,1.0000,0.0000,True,True,False
203,1.0000,0.0000,True,True,False
204,1.0000,0.0000,True,True,False
205,0.0000,1.0000,True,True,False
206,1.0000,0.0000,True,True,False
207,1.0000,0.0000,True,True,False
208,1.0000,0.0000,True,True,False
209,0.0000,1.0000,True,True,False
210,1.0000,0.0000,True,True,False
211,1.0000,0.0000,True,True,False
212,1.0000,0.0000,True,True,False
213,0.0000,1.0000,True,True,False
214,1.0000,0.0000,True,True,False
215,1.0000,0.0000,True,True,False
216,1.0000,0.0000,True,True,False
217,0.0000,1.0000,True,True,False
218,1.0000,0.0000,True,True,False
219,1.0000,0.0000,True,True,False
220,1.0000,0.0000,True,True,False
221,1.0000,0.0000,True,True,False
222,1.0000,0.0000,True,True,False
223,0.0000,1.0000,True,True,False
224,1.0000,0.0000,True,True,False
225,1.0000,0.0000,True,True,False
226,0.0000,1.0000,True,True,False
227,1.0000,0.0000,True,True,False
228,1.0000,0.0000,True,True,False
229,1.0000,0.0000,True,True,False
230,1.0000,0.0000,True,True,False
231,1.0000,0.0000,True,True,False
232,1.0000,0.0000,True,True,False
233,0.0000,1.0000,True,True,False
234,1.0000,0.0000,True,True,False
235,1.0000,0.0000,True,True,False
236,1.0000,0.0000,True,True,False
237,0.0000,1.0000,True,True,False
238,0.0000,1.0000,True,True,False
239,0.0000,1.0000,True,True,False
240,1.0000,0.0000,True,True,False
241,1.0000,0.0000,True,True,False
242,1.0000,0.0000,True,True,False
243,1.0000,0.0000,True,True,False
244,1.0000,0.0000,True,True,False
245,0.0000,1.0000,True,True,False
246,1.0000,0.0000,True,True,False
247,1.0000,0.0000,True,True,False
248,0.0000,1.0000,True,True,False
249,1.0000,0.0000,True,True,False
250,0.0000,1.0000,True,True,False
251,1.0000,0.0000,True,True,False
252,0.0000,1.0000,True,True,False
253,0.0000,1.0000,True,True,False
254,1.0000,0.0000,True,True,False
255,1.0000,0.0000,True,True,False
256,0.0000,1.0000,True,True,False
257,0.0000,1.0000,True,True,False
258,0.0000,1.0000,True,True,False
259,1.0000,0.0000,True,True,False
260,1.0000,0.0000,True,True,False
